Title,Link,Authors,Conference,Year
Berkeley Supernova Ia Program – IV. Carbon detection in early-time optical spectra of Type Ia supernovae,/document/8175633/,"Jeffrey M. Silverman;
Alexei V. Filippenko",Monthly Notices of the Royal Astronomical Society,Year: 2012
On the brightness of surviving companions in type Ia supernova remnants,/document/8203061/,"Kazuhiro Noda;
Takuma Suda;
Toshikazu Shigeyama",Publications of the Astronomical Society of Japan,Year: 2016
The Effect of Metallicity on the Delay-Time Distribution of Type Ia Supernova,/document/8207464/,"Xiang Cun Meng;
Zhong Mu Li;
Wu Ming Yang",Publications of the Astronomical Society of Japan,Year: 2011
The ZTF-BTS Type Ia supernovae luminosity function is consistent with a single progenitor channel for the explosions,/document/9691190/,"Amir Sharon;
Doron Kushnir",Monthly Notices of the Royal Astronomical Society,Year: 2021
Improving the calibration of Type Ia supernovae using late-time light curves,/document/8220742/,"Yun Wang;
Nicholas Hall",Monthly Notices of the Royal Astronomical Society,Year: 2008
"Photometric and spectroscopic observations, and abundance tomography modelling of the Type Ia supernova SN 2014J located in M82",/document/8195876/,"C. Ashall;
P. Mazzali;
D. Bersier;
S. Hachinger;
M. Phillips;
S. Percival;
P. James;
K. Maguire",Monthly Notices of the Royal Astronomical Society,Year: 2014
Exploring the diversity of double-detonation explosions for Type Ia supernovae: effects of the post-explosion helium shell composition,/document/9480407/,"M R Magee;
K Maguire;
R Kotak;
S A Sim",Monthly Notices of the Royal Astronomical Society,Year: 2021
Measuring nickel masses in Type Ia supernovae using cobalt emission in nebular phase spectra,/document/8198170/,"Michael J. Childress;
D. John Hillier;
Ivo Seitenzahl;
Mark Sullivan;
Kate Maguire;
Stefan Taubenberger;
Richard Scalzo;
Ashley Ruiter;
Nadejda Blagorodnova;
Yssavo Camacho;
Jayden Castillo;
Nancy Elias-Rosa;
Morgan Fraser;
Avishay Gal-Yam;
Melissa Graham;
D. Andrew Howell;
Cosimo Inserra;
Saurabh W. Jha;
Sahana Kumar;
Paolo A. Mazzali;
Curtis McCully;
Antonia Morales-Garoffolo;
Viraj Pandya;
Joe Polshaw;
Brian Schmidt;
Stephen Smartt;
Ken W. Smith;
Jesper Sollerman;
Jason Spyromilio;
Brad Tucker;
Stefano Valenti;
Nicholas Walton;
Christian Wolf;
Ofer Yaron;
D. R. Young;
Fang Yuan;
Bonnie Zhang",Monthly Notices of the Royal Astronomical Society,Year: 2015
Extensive search for systematic bias in supernova Ia data,/document/8180943/,"Caroline Heneka;
Valerio Marra;
Luca Amendola",Monthly Notices of the Royal Astronomical Society,Year: 2014
Projected rotational velocities of WD 1614+136 and WD 1353+409: implications for the rate of Galactic Type Ia supernovae,/document/8177415/,"P. F. L. Maxted;
T. R. Marsh",Monthly Notices of the Royal Astronomical Society,Year: 1998
Revisiting the magnification of type Ia supernovae with SDSS,/document/8172736/,"Brice Ménard;
Neal Dalal",Monthly Notices of the Royal Astronomical Society,Year: 2005
On the nature of the circumstellar medium of the remarkable Type Ia/IIn supernova SN 2002ic,/document/8163193/,"R. Kotak;
W. P. S. Meikle;
A. Adamson;
S. K. Leggett",Monthly Notices of the Royal Astronomical Society,Year: 2004
SRG/eROSITA discovery of a large circular SNR candidate G116.6−26.1: SN Ia explosion probing the gas of the Milky Way halo?,/document/9584086/,"E M Churazov;
I I Khabibullin;
A M Bykov;
N N Chugai;
R A Sunyaev;
I I Zinchenko",Monthly Notices of the Royal Astronomical Society,Year: 2021
The m–z relation for Type Ia supernovae: safety in numbers or safely without worry?,/document/8196910/,Phillip Helbig,Monthly Notices of the Royal Astronomical Society,Year: 2015
AC drives in the metals industry,/document/1042716/,"L.H. Dreinhoefer;
F.D. Magee",Conference Record of the 2002 IEEE Industry Applications Conference. 37th IAS Annual Meeting (Cat. No.02CH37344),Year: 2002
Generation reliability impacts of industry-owned distributed generation sources,/document/1257722/,"A.A. Chowdhury;
D.O. Koval","38th IAS Annual Meeting on Conference Record of the Industry Applications Conference, 2003.",Year: 2003
Reliability modeling of distributed generation in conventional distribution systems planning and analysis,/document/1042695/,"A.A. Chowdhury;
S.K. Agarwal;
D.O. Koval",Conference Record of the 2002 IEEE Industry Applications Conference. 37th IAS Annual Meeting (Cat. No.02CH37344),Year: 2002
Switched reluctance motor with 2-phase excitation,/document/732370/,"Jae-Won Moon;
Seok-Gyu Oh;
Jin-Woo Ahn;
Young-Moon Hwang",Conference Record of 1998 IEEE Industry Applications Conference. Thirty-Third IAS Annual Meeting (Cat. No.98CH36242),Year: 1998
NFPA 70B recommended practice for electrical equipment maintenance 2002 edition,/document/1257715/,"M.J. Hittel;
R. Bingham;
M.K. Sanders","38th IAS Annual Meeting on Conference Record of the Industry Applications Conference, 2003.",Year: 2003
Charging of glass powder in a circulating fluidized bed,/document/729850/,"D. Tucholski;
G.M. Colver",Conference Record of 1998 IEEE Industry Applications Conference. Thirty-Third IAS Annual Meeting (Cat. No.98CH36242),Year: 1998
Supernovae in the Subaru Deep Field: the rate and delay-time distribution of Type Ia supernovae out to redshift 2,/document/8195157/,"O. Graur;
D. Poznanski;
D. Maoz;
N. Yasuda;
T. Totani;
M. Fukugita;
A. V. Filippenko;
R. J. Foley;
J. M. Silverman;
A. Gal-Yam;
A. Horesh;
B. T. Jannuzi",Monthly Notices of the Royal Astronomical Society,Year: 2011
Spectropolarimetry of the Type Ia SN 2019ein rules out significant global asphericity of the ejecta,/document/9691108/,"Kishore C Patra;
Yi Yang 杨轶;
Thomas G Brink;
Peter Höflich;
Lifan Wang;
Alexei V Filippenko;
Daniel Kasen;
Dietrich Baade;
Ryan J Foley;
Justyn R Maund;
WeiKang Zheng;
Tiara Hung;
Aleksandar Cikota;
J Craig Wheeler;
Mattia Bulla",Monthly Notices of the Royal Astronomical Society,Year: 2021
The effect of aspherical stellar wind of giant stars on the symbiotic channel of Type Ia supernovae,/document/9491311/,"Chengyuan Wu;
Dongdong Liu;
Xiaofeng Wang;
Bo Wang",Monthly Notices of the Royal Astronomical Society,Year: 2021
Effects of the explosion asymmetry and viewing angle on the Type Ia supernova colour and luminosity calibration,/document/8194353/,"Keiichi Maeda;
Giorgos Leloudas;
Stefan Taubenberger;
Maximilian Stritzinger;
Jesper Sollerman;
Nancy Elias-Rosa;
Stefano Benetti;
Mario Hamuy;
Gaston Folatelli;
Paolo A. Mazzali",Monthly Notices of the Royal Astronomical Society,Year: 2011
A study of Si ii and S ii features in spectra of Type Ia supernovae,/document/9491472/,"Xulin Zhao;
Keiichi Maeda;
Xiaofeng Wang;
Hanna Sai",Monthly Notices of the Royal Astronomical Society,Year: 2021
The effects of different Type Ia SN yields on Milky Way chemical evolution,/document/9491262/,Marco Palla,Monthly Notices of the Royal Astronomical Society,Year: 2021
Exploring the spectroscopic diversity of Type Ia supernovae with dracula: a machine learning approach,/document/8151590/,"M. Sasdelli;
E. E. O. Ishida;
R. Vilalta;
M. Aguena;
V. C. Busti;
H. Camacho;
A. M. M. Trindade;
F. Gieseke;
R. S. de Souza;
Y. T. Fantaye;
P. A. Mazzali",Monthly Notices of the Royal Astronomical Society,Year: 2016
Supernovae in the Subaru Deep Field: an initial sample and Type Ia rate out to redshift 1.6,/document/8193289/,"D. Poznanski;
D. Maoz;
N. Yasuda;
R. J. Foley;
M. Doi;
A. V. Filippenko;
M. Fukugita;
A. Gal-Yam;
B. T. Jannuzi;
T. Morokuma;
T. Oda;
H. Schweiker;
K. Sharon;
J. M. Silverman;
T. Totani",Monthly Notices of the Royal Astronomical Society,Year: 2007
"Hubble Space Telescope spectra of the Type Ia supernova SN 2011fe: a tail of low-density, high-velocity material with Z < Z⊙",/document/8180951/,"P. A. Mazzali;
M. Sullivan;
S. Hachinger;
R. S. Ellis;
P. E. Nugent;
D. A. Howell;
A. Gal-Yam;
K. Maguire;
J. Cooke;
R. Thomas;
K. Nomoto;
E. S. Walker",Monthly Notices of the Royal Astronomical Society,Year: 2014
A revised SALT2 surface for fitting Type Ia supernova light curves,/document/9466790/,"G Taylor;
C Lidman;
B E Tucker;
D Brout;
S R Hinton;
R Kessler",Monthly Notices of the Royal Astronomical Society,Year: 2021
See Change: VLT spectroscopy of a sample of high-redshift Type Ia supernova host galaxies,/document/9267437/,"S C Williams;
I M Hook;
B Hayden;
J Nordin;
G Aldering;
K Boone;
A Goobar;
C E Lidman;
S Perlmutter;
D Rubin;
P Ruiz-Lapuente;
C Saunders;
The Supernova Cosmology Project",Monthly Notices of the Royal Astronomical Society,Year: 2020
The nebular spectra of the Type Ia supernova 1991bg: further evidence of a non-standard explosion,/document/8150697/,"Paolo A. Mazzali;
Stephan Hachinger",Monthly Notices of the Royal Astronomical Society,Year: 2012
Hybrid C–O–Ne white dwarfs as progenitors of Type Ia supernovae: dependence on Urca process and mixing assumptions,/document/8181450/,"P. A. Denissenkov;
J. W. Truran;
F. Herwig;
S. Jones;
B. Paxton;
K. Nomoto;
T. Suzuki;
H. Toki",Monthly Notices of the Royal Astronomical Society,Year: 2015
A metric space for Type Ia supernova spectra,/document/8181059/,"Michele Sasdelli;
W. Hillebrandt;
G. Aldering;
P. Antilogus;
C. Aragon;
S. Bailey;
C. Baltay;
S. Benitez-Herrera;
S. Bongard;
C. Buton;
A. Canto;
F. Cellier-Holzem;
J. Chen;
M. Childress;
N. Chotard;
Y. Copin;
H. K. Fakhouri;
U. Feindt;
M. Fink;
M. Fleury;
D. Fouchez;
E. Gangler;
J. Guy;
E. E. O. Ishida;
A. G. Kim;
M. Kowalski;
M. Kromer;
S. Lombardo;
P. A. Mazzali;
J. Nordin;
R. Pain;
E. Pécontal;
R. Pereira;
S. Perlmutter;
D. Rabinowitz;
M. Rigault;
K. Runge;
C. Saunders;
R. Scalzo;
G. Smadja;
N. Suzuki;
C. Tao;
S. Taubenberger;
R. C. Thomas;
A. Tilquin;
B. A. Weaver",Monthly Notices of the Royal Astronomical Society,Year: 2014
A possible distance bias for type Ia supernovae with different ejecta velocities,/document/9111436/,"M R Siebert;
R J Foley;
D O Jones;
K W Davis",Monthly Notices of the Royal Astronomical Society,Year: 2020
The MTO thyristor-a new high power bipolar MOS thyristor,/document/559262/,"D.E. Piccone;
R.W. De Doncker;
J.A. Barrow;
W.H. Tobin",IAS '96. Conference Record of the 1996 IEEE Industry Applications Conference Thirty-First IAS Annual Meeting,Year: 1996
Analysis and design of current-fed push-pull resonant inverters-cold cathode fluorescent lamp drivers,/document/563872/,"Y.L. Lin;
A.F. Witulski",IAS '96. Conference Record of the 1996 IEEE Industry Applications Conference Thirty-First IAS Annual Meeting,Year: 1996
Changing role of SCADA in manufacturing plant,/document/559275/,S.K. Ghosh,IAS '96. Conference Record of the 1996 IEEE Industry Applications Conference Thirty-First IAS Annual Meeting,Year: 1996
Critical evaluation of IGBT performance in zero current switching environment,/document/628981/,"M. Trivedi;
K. Shenai;
E. Larson",IAS '97. Conference Record of the 1997 IEEE Industry Applications Conference Thirty-Second IAS Annual Meeting,Year: 1997
Automatic magnetic particle testing system for square billets,/document/530493/,"T. Nishimine;
O. Tsuyama;
T. Tanaka;
H. Fujiwara",IAS '95. Conference Record of the 1995 IEEE Industry Applications Conference Thirtieth IAS Annual Meeting,Year: 1995
Heat analysis on insulated metal substrates [power electronics],/document/559249/,"N. Yonemura;
M. Fukuda;
T. Shigi",IAS '96. Conference Record of the 1996 IEEE Industry Applications Conference Thirty-First IAS Annual Meeting,Year: 1996
Electronic ballast for high-pressure mercury lamps,/document/563866/,"T. Pousset;
P. Cussac;
G. Zissis;
J.J. Damelincourt",IAS '96. Conference Record of the 1996 IEEE Industry Applications Conference Thirty-First IAS Annual Meeting,Year: 1996
The Port Alice papers [power system load additions],/document/563907/,E. Hesla,IAS '96. Conference Record of the 1996 IEEE Industry Applications Conference Thirty-First IAS Annual Meeting,Year: 1996
Additional advances in fuzzy logic temperature control,/document/530649/,J. Wilkinson,IAS '95. Conference Record of the 1995 IEEE Industry Applications Conference Thirtieth IAS Annual Meeting,Year: 1995
The investigation of ESD charge transfers from charged insulator and the safety electrostatic potential,/document/626322/,"Jiu-Sheng Huang;
Shang-He Liu;
Chun-Ping Li",IAS '97. Conference Record of the 1997 IEEE Industry Applications Conference Thirty-Second IAS Annual Meeting,Year: 1997
A study on kinetic characteristics of a cylindrical moving coil linear DC motor for a vibrator,/document/530335/,"M. Watada;
Y. Fukuya;
D. Ebihara;
T. Okada;
T. Takura",IAS '95. Conference Record of the 1995 IEEE Industry Applications Conference Thirtieth IAS Annual Meeting,Year: 1995
Rotor speed and temperature measurement in a large air gap induction motor,/document/530357/,"M. Poloujadoff;
J. Laeuffer;
J.-M. Obadia;
N. Rezgui",IAS '95. Conference Record of the 1995 IEEE Industry Applications Conference Thirtieth IAS Annual Meeting,Year: 1995
Q/M distribution in pulsed corona powder coating spray cone,/document/530450/,"I.I. Inculet;
G.S.P. Castle",IAS '95. Conference Record of the 1995 IEEE Industry Applications Conference Thirtieth IAS Annual Meeting,Year: 1995
Characteristics of digital-type photoconductors with different binder resins,/document/530487/,"H. Maeda;
Y. Murata",IAS '95. Conference Record of the 1995 IEEE Industry Applications Conference Thirtieth IAS Annual Meeting,Year: 1995
Development of medical mask utilizing electrostatic gradient force,/document/563855/,"S. Katsura;
S. Sakata;
K. Fukuta;
A. Mizuno",IAS '96. Conference Record of the 1996 IEEE Industry Applications Conference Thirty-First IAS Annual Meeting,Year: 1996
Studies of wind drift of charged particles in a quasi greenhouse setting,/document/626313/,"I.I. Inculet;
D. Surry",IAS '97. Conference Record of the 1997 IEEE Industry Applications Conference Thirty-Second IAS Annual Meeting,Year: 1997
The Evolution of the Modern Coal Grinding System,/document/9893481/,Richard J. Schmidt,2022 IEEE-IAS/PCA Cement Industry Conference (IAS/PCA),Year: 2022
High divider ratio fast response capacitive dividers for high voltage pulse measurements,/document/530436/,"S. Jayaram;
X. Xu;
J.D. Cross",IAS '95. Conference Record of the 1995 IEEE Industry Applications Conference Thirtieth IAS Annual Meeting,Year: 1995
On the Andreadakis Problem for Subgroups of IAn,/document/9619545/,Jacques Darné,International Mathematics Research Notices,Year: 2019
Non-thermal radiation from Type Ia supernova remnants,/document/8214031/,"Paul P. Edmon;
Hyesung Kang;
T. W. Jones;
Renyi Ma",Monthly Notices of the Royal Astronomical Society,Year: 2011
The type Ia supernova rate in z ⩽ 1 galaxy clusters: implications for progenitors and the source of cluster iron,/document/8161815/,"Dan Maoz;
Avishay Gal-Yam",Monthly Notices of the Royal Astronomical Society,Year: 2004
The C flash and the ignition conditions of Type Ia supernovae,/document/8218854/,"P. Lesaffre;
Z. Han;
C. A. Tout;
Ph. Podsiadlowski;
R. G. Martin",Monthly Notices of the Royal Astronomical Society,Year: 2006
The effects of varying colour–luminosity relations on Type Ia supernova science,/document/9646763/,"S González-Gaitán;
T de Jaeger;
L Galbany;
A Mourão;
A Paulino-Afonso;
A V Filippenko",Monthly Notices of the Royal Astronomical Society,Year: 2021
Studying the diversity of Type Ia supernovae in the ultraviolet: comparing models with observations,/document/8183916/,"E. S. Walker;
S. Hachinger;
P. A. Mazzali;
R. S. Ellis;
M. Sullivan;
A. Gal-Yam;
D. A. Howell",Monthly Notices of the Royal Astronomical Society,Year: 2012
Hot subdwarfs from the surviving companions of the white dwarf + main-sequence channel of Type Ia supernovae,/document/9584332/,"Xiang-Cun Meng;
Yang-Ping Luo",Monthly Notices of the Royal Astronomical Society,Year: 2021
An optical and near-infrared study of the Type Ia/IIn Supernova PS15si,/document/8183128/,"Charles D. Kilpatrick;
Jennifer E. Andrews;
Nathan Smith;
Peter Milne;
George H. Rieke;
WeiKang Zheng;
Alexei V. Filippenko",Monthly Notices of the Royal Astronomical Society,Year: 2016
A new formulation of the Type Ia supernova rate and its consequences on galactic chemical evolution,/document/8219331/,"F. Matteucci;
N. Panagia;
A. Pipino;
F. Mannucci;
S. Recchi;
M. Della Valle",Monthly Notices of the Royal Astronomical Society,Year: 2006
Probing the anisotropic local Universe and beyond with SNe Ia data,/document/8194443/,"Jacques Colin;
Roya Mohayaee;
Subir Sarkar;
Arman Shafieloo",Monthly Notices of the Royal Astronomical Society,Year: 2011
Reconciling volumetric and individual galaxy type Ia supernova rates,/document/8435335/,"P Andersen;
J Hjorth",Monthly Notices of the Royal Astronomical Society,Year: 2018
The impact of microlensing on the standardization of strongly lensed Type Ia supernovae,/document/8434785/,"Max Foxley-Marrable;
Thomas E Collett;
Georgios Vernardos;
Daniel A Goldstein;
David Bacon",Monthly Notices of the Royal Astronomical Society,Year: 2018
A search for the progenitors of two Type Ia Supernovae in NGC 1316,/document/8220224/,"Dan Maoz;
Filippo Mannucci",Monthly Notices of the Royal Astronomical Society,Year: 2008
Type Ia supernova bolometric light curves and ejected mass estimates from the Nearby Supernova Factory,/document/8195042/,"R. Scalzo;
G. Aldering;
P. Antilogus;
C. Aragon;
S. Bailey;
C. Baltay;
S. Bongard;
C. Buton;
F. Cellier-Holzem;
M. Childress;
N. Chotard;
Y. Copin;
H. K. Fakhouri;
E. Gangler;
J. Guy;
A. G. Kim;
M. Kowalski;
M. Kromer;
J. Nordin;
P. Nugent;
K. Paech;
R. Pain;
E. Pecontal;
R. Pereira;
S. Perlmutter;
D. Rabinowitz;
M. Rigault;
K. Runge;
C. Saunders;
S. A. Sim;
G. Smadja;
C. Tao;
S. Taubenberger;
R. C. Thomas;
B. A. Weaver",Monthly Notices of the Royal Astronomical Society,Year: 2014
A single-degenerate model for the progenitor of the Type Ia supernova 2002ic,/document/8176092/,"Z. Han;
Ph. Podsiadlowski",Monthly Notices of the Royal Astronomical Society,Year: 2006
A consistent test of the distance–duality relation with galaxy clusters and Type Ia Supernovae,/document/8182501/,"Nan Liang;
Zhengxiang Li;
Puxun Wu;
Shuo Cao;
Kai Liao;
Zong-Hong Zhu",Monthly Notices of the Royal Astronomical Society,Year: 2013
Monte Carlo radiative transfer for the nebular phase of Type Ia supernovae,/document/9114020/,"L J Shingles;
S A Sim;
M Kromer;
K Maguire;
M Bulla;
C Collins;
C P Ballance;
A S Michel;
C A Ramsbottom;
F K Röpke;
I R Seitenzahl;
N B Tyndall",Monthly Notices of the Royal Astronomical Society,Year: 2019
[Co III] versus Na I D in Type Ia supernova spectra,/document/8182646/,"Luc Dessart;
D. John Hillier;
Stéphane Blondin;
Alexei Khokhlov",Monthly Notices of the Royal Astronomical Society,Year: 2014
High-z Type Ia supernova data: non-Gaussianity and direction dependence,/document/8195206/,"Shashikant Gupta;
Meghendra Singh",Monthly Notices of the Royal Astronomical Society,Year: 2014
Erratum: three-dimensional delayed-detonation models with nucleosynthesis for Type Ia supernovae,/document/8199864/,"Ivo R. Seitenzahl;
Franco Ciaraldi-Schoolmann;
Friedrich K. Röpke;
Michael Fink;
Wolfgang Hillebrandt;
Markus Kromer;
Rüdiger Pakmor;
Ashley J. Ruiter;
Stuart A. Sim;
Stefan Taubenberger",Monthly Notices of the Royal Astronomical Society,Year: 2014
Key learnings from IAS electrical safety workshops,/document/883214/,"S. Bonner;
K. Eastwood;
H. II Landis Floyd;
S. Jamil;
D.P. Liggett;
D.A. Pace;
C. Satish",Conference Record of the 2000 IEEE Industry Applications Conference. Thirty-Fifth IAS Annual Meeting and World Conference on Industrial Applications of Electrical Energy (Cat. No.00CH37129),Year: 2000
ESC and KAIT observations of the transitional Type Ia SN 2004eo,/document/8219593/,"A. Pastorello;
P. A. Mazzali;
G. Pignata;
S. Benetti;
E. Cappellaro;
A. V. Filippenko;
W. Li;
W. P. S. Meikle;
A. A. Arkharov;
G. Blanc;
F. Bufano;
A. Derekas;
M. Dolci;
N. Elias-Rosa;
R. J. Foley;
M. Ganeshalingam;
A. Harutyunyan;
L. L. Kiss;
R. Kotak;
V. M. Larionov;
J. R. Lucey;
N. Napoleone;
H. Navasardyan;
F. Patat;
J. Rich;
S. D. Ryder;
M. Salvo;
B. P. Schmidt;
V. Stanishev;
P. Székely;
S. Taubenberger;
S. Temporin;
M. Turatto;
W. Hillebrandt",Monthly Notices of the Royal Astronomical Society,Year: 2007
Spitzer observations of SN 2014J and properties of mid-IR emission in Type Ia supernovae,/document/8201175/,"J. Johansson;
A. Goobar;
M. M. Kasliwal;
G. Helou;
F. Masci;
S. Tinyanont;
J. Jencson;
Y. Cao;
O. D. Fox;
M. Kromer;
R. Amanullah;
D. P. K. Banerjee;
V. Joshi;
A. Jerkstrand;
E. Kankare;
T. A. Prince",Monthly Notices of the Royal Astronomical Society,Year: 2016
Early Spectral Evolution of the Rapidly Expanding Type Ia Supernova 2006X,/document/8202490/,"Masayuki Yamanaka;
Hiroyuki Naito;
Kenzo Kinugasa;
Naohiro Takanashi;
Masaomi Tanaka;
Koji S. Kawabata;
Shinobu Ozaki;
Shin-ya Narusawa;
Kozo Sadakane",Publications of the Astronomical Society of Japan,Year: 2009
Cepheid calibration of Type Ia supernovae and the Hubble constant,/document/8161773/,"G. Altavilla;
G. Fiorentino;
M. Marconi;
I. Musella;
E. Cappellaro;
R. Barbon;
S. Benetti;
A. Pastorello;
M. Riello;
M. Turatto;
L. Zampieri",Monthly Notices of the Royal Astronomical Society,Year: 2004
Spectral diversity of Type Ia supernovae,/document/8176268/,"J. Berian James;
Tamara M. Davis;
Brian P. Schmidt;
Alex G. Kim",Monthly Notices of the Royal Astronomical Society,Year: 2006
Constraints on dark energy with the LOSS SN Ia sample,/document/8232834/,"Mohan Ganeshalingam;
Weidong Li;
Alexei V. Filippenko",Monthly Notices of the Royal Astronomical Society,Year: 2013
A threat-based definition of IA and IA-enabled products,/document/5678675/,"Philip Campbell;
Mark Schaefer;
Mayuri Shakamuri",44th Annual 2010 IEEE International Carnahan Conference on Security Technology,Year: 2010
KPD 1930+2752: a candidate Type Ia supernova progenitor,/document/8172576/,"P. F. L. Maxted;
T. R. Marsh;
R. C. North",Monthly Notices of the Royal Astronomical Society,Year: 2000
Einstein-de Sitter model re-examined for newly discovered Type Ia supernovae,/document/8173391/,R. G. Vishwakarma,Monthly Notices of the Royal Astronomical Society,Year: 2005
Confirmation and revision on the orbital period change of the possible type Ia supernova progenitor V617 Sagittarii,/document/8202531/,"Guang Shi;
Sheng-Bang Qian;
Eduardo Fernández Lajús",Publications of the Astronomical Society of Japan,Year: 2014
Effect of electrical field on buoyancy-induced flows in an enclosure,/document/530475/,"H.S. Shu;
F.C. Lai",IAS '95. Conference Record of the 1995 IEEE Industry Applications Conference Thirtieth IAS Annual Meeting,Year: 1995
Nebular spectra and abundance tomography of the Type Ia supernova SN 2011fe: a normal SN Ia with a stable Fe core,/document/8212345/,"P. A. Mazzali;
M. Sullivan;
A. V. Filippenko;
P. M. Garnavich;
K. I. Clubb;
K. Maguire;
Y.-C. Pan;
B. Shappee;
J. M. Silverman;
S. Benetti;
S. Hachinger;
K. Nomoto;
E. Pian",Monthly Notices of the Royal Astronomical Society,Year: 2015
Modeling of DC corona discharge along an electrically conductive flat plate with gas flow,/document/626299/,"G.M. Colver;
S. El-Khabiry",IAS '97. Conference Record of the 1997 IEEE Industry Applications Conference Thirty-Second IAS Annual Meeting,Year: 1997
Supernovae and their host galaxies – III. The impact of bars and bulges on the radial distribution of supernovae in disc galaxies,/document/8198686/,"A. A. Hakobyan;
A. G. Karapetyan;
L. V. Barkhudaryan;
G. A. Mamon;
D. Kunth;
A. R. Petrosian;
V. Adibekyan;
L. S. Aramyan;
M. Turatto",Monthly Notices of the Royal Astronomical Society,Year: 2015
A new approach to on-line turn fault detection in AC motors,/document/557113/,"G.B. Kliman;
W.J. Premerlani;
R.A. Koegl;
D. Hoeweler",IAS '96. Conference Record of the 1996 IEEE Industry Applications Conference Thirty-First IAS Annual Meeting,Year: 1996
"Neutral point control for multi-level inverters: theory, design and operational limitations",/document/629031/,"C. Newton;
M. Sumner",IAS '97. Conference Record of the 1997 IEEE Industry Applications Conference Thirty-Second IAS Annual Meeting,Year: 1997
Implementation of a direct digital predictive current controller for single and three phase voltage source inverters,/document/560191/,"D.G. Holmes;
D.A. Martin",IAS '96. Conference Record of the 1996 IEEE Industry Applications Conference Thirty-First IAS Annual Meeting,Year: 1996
Application of state space averaging method to sliding mode control of PWM DC/DC converters,/document/628957/,"J. Mahdavi;
A. Emadi;
H.A. Toliyat",IAS '97. Conference Record of the 1997 IEEE Industry Applications Conference Thirty-Second IAS Annual Meeting,Year: 1997
Rotor position and velocity estimation for a permanent magnet synchronous machine at standstill and high speeds,/document/556994/,"M.J. Corley;
R.D. Lorenz",IAS '96. Conference Record of the 1996 IEEE Industry Applications Conference Thirty-First IAS Annual Meeting,Year: 1996
Life prediction model for aluminum electrolytic capacitors,/document/559241/,M.L. Gasperi,IAS '96. Conference Record of the 1996 IEEE Industry Applications Conference Thirty-First IAS Annual Meeting,Year: 1996
Semiconductor power losses in AC inverters,/document/530391/,"K. Berringer;
J. Marvin;
P. Perruchoud",IAS '95. Conference Record of the 1995 IEEE Industry Applications Conference Thirtieth IAS Annual Meeting,Year: 1995
Study of cogging torque in permanent magnet machines,/document/643006/,"C. Studer;
A. Keyhani;
T. Sebastian;
S.K. Murthy",IAS '97. Conference Record of the 1997 IEEE Industry Applications Conference Thirty-Second IAS Annual Meeting,Year: 1997
"IGCT-a new emerging technology for high power, low cost inverters",/document/629064/,"P.K. Steimer;
H.E. Gruning;
J. Werninger;
E. Carroll;
S. Klaka;
S. Linder",IAS '97. Conference Record of the 1997 IEEE Industry Applications Conference Thirty-Second IAS Annual Meeting,Year: 1997
Initial rotor angle detection of a nonsalient pole permanent magnet synchronous machine,/document/643063/,"P.B. Schmidt;
M.L. Gasperi;
G. Ray;
A.H. Wijenayake",IAS '97. Conference Record of the 1997 IEEE Industry Applications Conference Thirty-Second IAS Annual Meeting,Year: 1997
Sinusoidal current drive system of permanent magnet synchronous motor with low resolution position sensor,/document/556990/,"S. Morimoto;
M. Sanada;
Y. Takeda",IAS '96. Conference Record of the 1996 IEEE Industry Applications Conference Thirty-First IAS Annual Meeting,Year: 1996
Electrolytic capacitor life testing and prediction,/document/628992/,"V.A. Sankaran;
F.L. Rees;
C.S. Avant",IAS '97. Conference Record of the 1997 IEEE Industry Applications Conference Thirty-Second IAS Annual Meeting,Year: 1997
Sensorless direct field orientation at zero flux frequency,/document/557014/,"F. Blaschke;
J. van der Burgt;
A. Vandenput",IAS '96. Conference Record of the 1996 IEEE Industry Applications Conference Thirty-First IAS Annual Meeting,Year: 1996
Induction motor modeling for common mode and differential mode emission evaluation,/document/557097/,"A. Consoli;
G. Oriti;
A. Testa;
A.L. Julian",IAS '96. Conference Record of the 1996 IEEE Industry Applications Conference Thirty-First IAS Annual Meeting,Year: 1996
Motor design considerations and test results of an interior permanent magnet synchronous motor for electric vehicles,/document/643011/,"Y. Honda;
T. Nakamura;
T. Higaki;
Y. Takeda",IAS '97. Conference Record of the 1997 IEEE Industry Applications Conference Thirty-Second IAS Annual Meeting,Year: 1997
