Title,Link,Authors,Conference,Year
Testing the isotropy of the Universe by using the JLA compilation of Type Ia supernovae,/document/8197998/,"Hai-Nan Lin;
Sai Wang;
Zhe Chang;
Xin Li",Monthly Notices of the Royal Astronomical Society,Year: 2015
Identification of the feature that causes the I-band secondary maximum of a Type Ia supernova,/document/8208859/,"D. Jack;
E. Baron;
P. H. Hauschildt",Monthly Notices of the Royal Astronomical Society,Year: 2015
Gravitational lensing of high-redshift Type Ia supernovae: a probe of medium-scale structure,/document/8177761/,R. Benton Metcalf,Monthly Notices of the Royal Astronomical Society,Year: 1999
A new hydrodynamics code for Type Ia supernovae,/document/8198724/,"S.-C. Leung;
M.-C. Chu;
L.-M. Lin",Monthly Notices of the Royal Astronomical Society,Year: 2015
Reconciling 56Ni production in Type Ia supernovae with double degenerate scenarios,/document/8181264/,"Anthony L. Piro;
Todd A. Thompson;
Christopher S. Kochanek",Monthly Notices of the Royal Astronomical Society,Year: 2014
"Berkeley Supernova Ia Program – I. Observations, data reduction and spectroscopic sample of 582 low-redshift Type Ia supernovae",/document/8175630/,"Jeffrey M. Silverman;
Ryan J. Foley;
Alexei V. Filippenko;
Mohan Ganeshalingam;
Aaron J. Barth;
Ryan Chornock;
Christopher V. Griffith;
Jason J. Kong;
Nicholas Lee;
Douglas C. Leonard;
Thomas Matheson;
Emily G. Miller;
Thea N. Steele;
Brian J. Barris;
Joshua S. Bloom;
Bethany E. Cobb;
Alison L. Coil;
Louis-Benoit Desroches;
Elinor L. Gates;
Luis C. Ho;
Saurabh W. Jha;
Michael T. Kandrashoff;
Weidong Li;
Kaisey S. Mandel;
Maryam Modjaz;
Matthew R. Moore;
Robin E. Mostardi;
Marina S. Papenkova;
Sung Park;
Daniel A. Perley;
Dovi Poznanski;
Cassie A. Reuter;
James Scala;
Franklin J. D. Serduke;
Joseph C. Shields;
Brandon J. Swift;
John L. Tonry;
Schuyler D. Van Dyk;
Xiaofeng Wang;
Diane S. Wong",Monthly Notices of the Royal Astronomical Society,Year: 2012
On spectral line profiles in Type Ia supernova spectra,/document/8181153/,Ryan J. Foley,Monthly Notices of the Royal Astronomical Society,Year: 2013
Gravitational lensing of type Ia supernovae by galaxy clusters,/document/8177412/,"Tsafrir S. Kolatt;
Matthias Bartelmann",Monthly Notices of the Royal Astronomical Society,Year: 1998
Exploring the spectral diversity of low-redshift Type Ia supernovae using the Palomar Transient Factory,/document/8199788/,"K. Maguire;
M. Sullivan;
Y.-C. Pan;
A. Gal-Yam;
I. M. Hook;
D. A. Howell;
P. E. Nugent;
P. Mazzali;
N. Chotard;
K. I. Clubb;
A. V. Filippenko;
M. M. Kasliwal;
M. T. Kandrashoff;
D. Poznanski;
C. M. Saunders;
J. M. Silverman;
E. Walker;
D. Xu",Monthly Notices of the Royal Astronomical Society,Year: 2014
Early UV emission from disc-originated matter (DOM) in Type Ia supernovae in the double-degenerate scenario,/document/8211889/,"Naveh Levanon;
Noam Soker",Monthly Notices of the Royal Astronomical Society,Year: 2017
On the presence of silicon and carbon in the pre-maximum spectrum of the Type Ia SN 1990N,/document/8218197/,Paolo A. Mazzali,Monthly Notices of the Royal Astronomical Society,Year: 2001
The number of progenitors in the core-degenerate scenario for Type Ia supernovae,/document/8185986/,"Marjan Ilkov;
Noam Soker",Monthly Notices of the Royal Astronomical Society,Year: 2013
The snapshot distance method: estimating the distance to a Type Ia supernova from minimal observations,/document/9491192/,"Benjamin E Stahl;
Thomas de Jaeger;
WeiKang Zheng;
Alexei V Filippenko",Monthly Notices of the Royal Astronomical Society,Year: 2021
The template type Ia supernova 1996X,/document/8218190/,"M. E. Salvo;
E. Cappellaro;
P. A. Mazzali;
S. Benetti;
I. J. Danziger;
F. Patat;
M. Turatto",Monthly Notices of the Royal Astronomical Society,Year: 2001
The properties of the peculiar type Ia supernova 1991bg — II. The amount of 56Ni and the total ejecta mass determined from spectrum synthesis and energetics considerations,/document/8218296/,"P. A. Mazzali;
N. Chugai;
M. Turatto;
L. B. Lucy;
I. J. Danziger;
E. Cappellaro;
M. Delia Valle;
S. Benetti",Monthly Notices of the Royal Astronomical Society,Year: 1997
Constraining the double-degenerate scenario for Type Ia supernovae from merger ejected matter,/document/8181445/,"Naveh Levanon;
Noam Soker;
Enrique García-Berro",Monthly Notices of the Royal Astronomical Society,Year: 2015
"Using Adaptive Nested Mesh Code HydroBox3D for Numerical Simulation of Type Ia Supernovae: Merger of Carbon-Oxygen White Dwarf Stars, Collapse, and Non-Central Explosion",/document/8675143/,"Igor Kulikov;
Igor Chernykh;
Dmitry Karavaev;
Victor Protasov;
Alexander Serenko;
Vladimir Prigarin;
Ivan Ulyanichev;
Alexander Tutukov",2018 Ivannikov Ispras Open Conference (ISPRAS),Year: 2018
SN 2002cv: a heavily obscured Type Ia supernova,/document/8150504/,"N. Elias-Rosa;
S. Benetti;
M. Turatto;
E. Cappellaro;
S. Valenti;
A. A. Arkharov;
J. E. Beckman;
A. Di Paola;
M. Dolci;
A. V. Filippenko;
R. J. Foley;
K. Krisciunas;
V. M. Larionov;
W. Li;
W. P. S. Meikle;
A. Pastorello;
G. Valentini;
W. Hillebrandt",Monthly Notices of the Royal Astronomical Society,Year: 2008
Probing the progenitors of Type Ia supernovae using circumstellar material interaction signatures,/document/9584319/,"Peter Clark;
Kate Maguire;
Mattia Bulla;
Lluís Galbany;
Mark Sullivan;
Joseph P Anderson;
Stephen J Smartt",Monthly Notices of the Royal Astronomical Society,Year: 2021
